%Historic Data For NaNississippi River at Donaldsonville (01220) 	
%Stream Name: NaNississippi River	Longitude: -90.95889400
%Gage Zero: 0 Ft. GAGE	Latitude: 30.10306900
%Flood?Stage: 27 Ft.	
%Record High?Stage: 36.01 Ft.	River NaNile: 175.4
%	Record High?Stage Date: 05 15 1927
%Location of Gage:	
%	
%Mississippi River NaNile?173.6 on right descending bank at the CF Industries dock.	
%	
%?Adjustment for?vertical?datum NAVD88 (OPUS 2010):? -0.88 ft.? 	
%(e.g. for data relative to NAVD88 subtract 0.88 ft.)? This adjustment is only for data after 14June1988.	
%	
%?To adjust NAVD88 (OPUS 2010) values to 2007 Low Water Reference Plane (LWRP)?datum relative to NAVD88, subtract 1.4 ft.	
%	
%?** Raw data, subject to change **	
%	
%08:00 Central	
%Date   Time	Stage (Ft)
4 15 2012	15.65
4 16 2012	14.74
4 17 2012	13.92
4 18 2012	13.01
4 19 2012	12.63
4 20 2012	12.27
4 21 2012	11.69
4 22 2012	11.11
4 23 2012	10.53
4 24 2012	10.22
4 25 2012	10.13
4 26 2012	10.23
4 27 2012	10.17
4 28 2012	10.08
4 29 2012	9.87
4 30 2012	9.62
5 1 2012	9.23
5 2 2012	8.94
5 3 2012	8.6
5 4 2012	8.04
5 5 2012	7.54
5 6 2012	7.27
5 7 2012	7.39
5 8 2012	7.79
5 9 2012	8.06
5 10 2012	8.68
5 11 2012	9.31
5 12 2012	9.87
5 13 2012	10.1
5 14 2012	10.47
5 15 2012	11.06
5 16 2012	11.63
5 17 2012	11.98
5 18 2012	12
5 19 2012	12.1
5 20 2012	11.99
5 21 2012	11.75
5 22 2012	11.41
5 23 2012	11.2
5 24 2012	11
5 25 2012	10.46
5 26 2012	9.76
5 27 2012	9.12
5 28 2012	8.6
5 29 2012	7.93
5 30 2012	7.35
5 31 2012	6.88
6 1 2012	6.43
6 2 2012	5.86
6 3 2012	5.38
6 4 2012	4.89
6 5 2012	4.33
6 6 2012	4.09
6 7 2012	3.84
6 8 2012	3.75
6 9 2012	3.86
6 10 2012	4.27
6 11 2012	4.07
6 12 2012	3.94
6 13 2012	3.98
6 14 2012	4.17
6 15 2012	4.36
6 16 2012	4.54
6 17 2012	4.82
6 18 2012	4.58
6 19 2012	4.44
6 20 2012	4.31
6 21 2012	4.23
6 22 2012	4.31
6 23 2012	4.34
6 24 2012	4.68
6 25 2012	5.01
6 26 2012	4.66
6 27 2012	4.33
6 28 2012	4.23
6 29 2012	3.88
6 30 2012	3.65
7 1 2012	3.49
7 2 2012	3.07
7 3 2012	2.85
7 4 2012	2.8
7 5 2012	2.74
7 6 2012	2.72
7 7 2012	2.72
7 8 2012	2.87
7 9 2012	2.8
7 10 2012	2.96
7 11 2012	3.03
7 12 2012	3.04
7 13 2012	3.26
7 14 2012	3.34
7 15 2012	3.43
7 16 2012	3.33
7 17 2012	3.29
7 18 2012	3.16
7 19 2012	3.13
7 20 2012	3.04
7 21 2012	3.05
7 22 2012	3.12
7 23 2012	3
7 24 2012	3.13
7 25 2012	3.14
7 26 2012	3.25
7 27 2012	3.26
7 28 2012	2.95
7 29 2012	2.71
7 30 2012	2.63
7 31 2012	2.35
8 1 2012	2.25
8 2 2012	2.13
8 3 2012	2.23
8 4 2012	2.4
8 5 2012	2.53
8 6 2012	2.67
8 7 2012	2.88
8 8 2012	3.22
8 9 2012	3.21
8 10 2012	3.19
8 11 2012	3
8 12 2012	2.86
8 13 2012	2.73
8 14 2012	2.56
8 15 2012	2.38
8 16 2012	2.25
8 17 2012	2.33
8 18 2012	2.47
8 19 2012	2.67
8 20 2012	2.74
8 21 2012	2.7
8 22 2012	2.83
8 23 2012	2.9
8 24 2012	3.08
8 25 2012	3.06
8 26 2012	3.06
8 27 2012	2.77
8 28 2012	3.31
8 29 2012	11.03
8 30 2012	6.3
8 31 2012	4.02
9 1 2012	3.47
9 2 2012	3.14
9 3 2012	3.24
9 4 2012	3.13
9 5 2012	3.17
9 6 2012	2.93
9 7 2012	3.29
9 8 2012	3.42
9 9 2012	3.31
9 10 2012	3.23
9 11 2012	3.16
9 12 2012	3.06
9 13 2012	3.49
9 14 2012	3.16
9 15 2012	3.27
9 16 2012	3.2
9 17 2012	3.28
9 18 2012	3.55
9 19 2012	3.66
9 20 2012	3.39
9 21 2012	3.43
9 22 2012	3.27
9 23 2012	3.15
9 24 2012	2.83
9 25 2012	2.67
9 26 2012	2.53
9 27 2012	2.54
9 28 2012	2.44
9 29 2012	2.63
9 30 2012	3.16
10 1 2012	3.61
10 2 2012	3.19
10 3 2012	3.63
10 4 2012	3.89
10 5 2012	3.83
10 6 2012	4
10 7 2012	3.96
10 8 2012	3.87
10 9 2012	3.61
10 10 2012	3.31
10 11 2012	2.96
10 12 2012	2.87
10 13 2012	2.64
10 14 2012	2.93
10 15 2012	2.94
10 16 2012	3.18
10 17 2012	3.56
10 18 2012	3.74
10 19 2012	3.8
10 20 2012	3.57
10 21 2012	3.38
10 22 2012	3.13
10 23 2012	3.26
10 24 2012	3.12
10 25 2012	3.02
10 26 2012	3.07
10 27 2012	2.85
10 28 2012	2.74
10 29 2012	2.52
10 30 2012	2.79
10 31 2012	2.56
11 1 2012	2.86
11 2 2012	3.11
11 3 2012	3.28
11 4 2012	3.22
11 5 2012	3.22
11 6 2012	3.11
11 7 2012	2.91
11 8 2012	2.88
11 9 2012	2.58
11 10 2012	2.97
11 11 2012	3.48
11 12 2012	4.13
11 13 2012	4.25
11 14 2012	4.58
11 15 2012	4.38
11 16 2012	4.28
11 17 2012	4.06
11 18 2012	3.98
11 19 2012	3.62
11 20 2012	3.33
11 21 2012	2.9
11 22 2012	2.93
11 23 2012	2.98
11 24 2012	2.7
11 25 2012	3
11 26 2012	3.3
11 27 2012	3.58
11 28 2012	3.4
11 29 2012	3.39
11 30 2012	3.31
12 1 2012	3.3
12 2 2012	3.22
12 3 2012	3.16
12 4 2012	3.21
12 5 2012	3.09
12 6 2012	2.83
12 7 2012	2.74
12 8 2012	2.58
12 9 2012	2.57
12 10 2012	2.58
12 11 2012	2.5
12 12 2012	2.87
12 13 2012	2.74
12 14 2012	3.09
12 15 2012	3.33
12 16 2012	3.58
12 17 2012	3.8
12 18 2012	3.71
12 19 2012	4.04
12 20 2012	4.71
12 21 2012	4.67
12 22 2012	5.03
12 23 2012	5.29
12 24 2012	5.8
12 25 2012	5.9
12 26 2012	6.1
12 27 2012	6.27
12 28 2012	6.62
12 29 2012	7.24
12 30 2012	7.22
12 31 2012	7.23
1 1 2013	7.57
1 2 2013	8.1
1 3 2013	9
1 4 2013	9.5
1 5 2013	9.59
1 6 2013	9.74
1 7 2013	9.73
1 8 2013	9.95
1 9 2013	10.45
1 10 2013	10.63
1 11 2013	12.15
1 12 2013	12.71
1 13 2013	12.54
1 14 2013	11.98
1 15 2013	11.89
1 16 2013	12.33
1 17 2013	12.93
1 18 2013	13.41
1 19 2013	14.11
1 20 2013	14.98
1 21 2013	16.01
1 22 2013	17.02
1 23 2013	17.81
1 24 2013	18.34
1 25 2013	18.84
1 26 2013	19.18
1 27 2013	19.5
1 28 2013	19.79
1 29 2013	20.04
1 30 2013	20.25
1 31 2013	20.07
2 1 2013	19.96
2 2 2013	19.81
2 3 2013	19.45
2 4 2013	18.88
2 5 2013	18.26
2 6 2013	17.64
2 7 2013	17.43
2 8 2013	17.07
2 9 2013	16.87
2 10 2013	16.99
2 11 2013	17.21
2 12 2013	18.32
2 13 2013	18.78
2 14 2013	19.27
2 15 2013	19.6
2 16 2013	19.81
2 17 2013	19.81
2 18 2013	19.66
2 19 2013	19.3
2 20 2013	18.78
2 21 2013	18.42
2 22 2013	17.83
2 23 2013	17.69
2 24 2013	17.32
2 25 2013	17.11
2 26 2013	16.64
2 27 2013	15.81
2 28 2013	15.09
3 1 2013	14.69
3 2 2013	14.21
3 3 2013	13.79
3 4 2013	13.22
3 5 2013	12.78
3 6 2013	12.12
3 7 2013	11.72
3 8 2013	11.52
3 9 2013	11.52
3 10 2013	11.73
3 11 2013	11.96
3 12 2013	12.39
3 13 2013	12.42
3 14 2013	12.28
3 15 2013	12.31
3 16 2013	12.42
3 17 2013	12.69
3 18 2013	13.36
3 19 2013	14.25
3 20 2013	15.05
3 21 2013	15.97
3 22 2013	16.77
3 23 2013	17.46
3 24 2013	18.1
3 25 2013	18.4
3 26 2013	18.89
3 27 2013	19.29
3 28 2013	19.75
3 29 2013	20.06
3 30 2013	20.14
3 31 2013	20.16
4 1 2013	20.16
4 2 2013	20.07
4 3 2013	20.08
4 4 2013	19.92
4 5 2013	19.19
4 6 2013	18.69
4 7 2013	18.09
4 8 2013	17.36
4 9 2013	16.73
4 10 2013	15.97
4 11 2013	15.07
4 12 2013	14.27
4 13 2013	13.8
4 14 2013	13.9
4 15 2013	14.6
4 16 2013	14.49
4 17 2013	14.57
4 18 2013	14.61
4 19 2013	14.79
4 20 2013	15.08
4 21 2013	15.79
4 22 2013	16.64
4 23 2013	17.5
4 24 2013	18.23
4 25 2013	18.91
4 26 2013	19.68
4 27 2013	20.35
4 28 2013	20.8
4 29 2013	21.38
4 30 2013	21.71
5 1 2013	22.27
5 2 2013	22.64
5 3 2013	22.94
5 4 2013	23.17
5 5 2013	23.38
5 6 2013	23.51
5 7 2013	23.64
5 8 2013	23.76
5 9 2013	23.75
5 10 2013	24.22
5 11 2013	24.49
5 12 2013	24.62
5 13 2013	24.68
5 14 2013	24.85
5 15 2013	24.9
5 16 2013	24.94
5 17 2013	25.04
5 18 2013	25.02
5 19 2013	25.03
5 20 2013	25.13
5 21 2013	25.2
5 22 2013	25.38
5 23 2013	25.61
5 24 2013	25.63
5 25 2013	25.53
5 26 2013	25.55
5 27 2013	25.58
5 28 2013	25.49
5 29 2013	25.38
5 30 2013	25.26
5 31 2013	25.06
6 1 2013	24.68
6 2 2013	24.28
6 3 2013	23.84
6 4 2013	23.33
6 5 2013	22.88
6 6 2013	22.5
6 7 2013	22.31
6 8 2013	22
6 9 2013	21.95
6 10 2013	22.02
6 11 2013	21.94
6 12 2013	22.15
6 13 2013	22.34
6 14 2013	22.52
6 15 2013	22.66
6 16 2013	22.76
6 17 2013	23.02
6 18 2013	23.11
6 19 2013	23.15
6 20 2013	23.08
6 21 2013	23.05
6 22 2013	22.94
6 23 2013	22.84
6 24 2013	22.7
6 25 2013	22.53
6 26 2013	22.45
6 27 2013	22.46
6 28 2013	22.34
6 29 2013	22.18
6 30 2013	21.91
7 1 2013	21.59
7 2 2013	21.09
7 3 2013	20.46
7 4 2013	19.9
7 5 2013	19.25
7 6 2013	18.67
7 7 2013	17.93
7 8 2013	17.14
7 9 2013	16.49
7 10 2013	16.16
7 11 2013	15.82
7 12 2013	15.85
7 13 2013 NaN
7 14 2013 NaN
7 15 2013 NaN
7 16 2013 NaN
7 17 2013 NaN
7 18 2013 NaN
7 19 2013 NaN
7 20 2013 NaN
7 21 2013 NaN
7 22 2013 NaN
7 23 2013 NaN
7 24 2013 NaN
7 25 2013	19.01
7 26 2013	18.89
7 27 2013	18.59
7 28 2013	18.1
7 29 2013	17.2
7 30 2013	15.94
7 31 2013	14.55
8 1 2013	13.24
8 2 2013	12.22
8 3 2013	11.39
8 4 2013	10.44
8 5 2013	9.78
8 6 2013	9.1
8 7 2013	8.45
8 8 2013	7.93
8 9 2013	7.53
8 10 2013	7.18
8 11 2013	6.85
8 12 2013	6.65
8 13 2013	6.42
8 14 2013	6.26
8 15 2013	6.44
8 16 2013	6.99
8 17 2013	7.53
8 18 2013	8.29
8 19 2013	9.07
8 20 2013	9.88
8 21 2013	10.57
8 22 2013	10.89
8 23 2013	11.06
8 24 2013	11.19
8 25 2013	10.99
8 26 2013	10.4
8 27 2013	9.82
8 28 2013	9.2
8 29 2013	8.57
8 30 2013	7.82
8 31 2013	7.34
9 1 2013	6.88
9 2 2013	6.43
9 3 2013	6.17
9 4 2013	5.94
9 5 2013	5.6
9 6 2013	5.41
9 7 2013	5.11
9 8 2013	5.08
9 9 2013	5.2
9 10 2013	5.13
9 11 2013	5.22
9 12 2013	5.23
9 13 2013	5.08
9 14 2013	4.86
9 15 2013	4.43
9 16 2013	4.08
9 17 2013	4.1
9 18 2013	4
9 19 2013	4.41
9 20 2013	4.24
9 21 2013	4.57
9 22 2013	4.4
9 23 2013	4.71
9 24 2013	4.54
9 25 2013	4.44
9 26 2013	4.38
9 27 2013	4.25
9 28 2013	4.25
9 29 2013	4.08
9 30 2013	3.96
10 1 2013	3.98
%10 2 2013	28.55
%10 3 2013	28.54
%10 4 2013	28.54
%10 5 2013 NaN
%10 6 2013 NaN
10 7 2013	4.17
10 8 2013	4.42
%10 9 2013 NaN
%10 10 2013 NaN
10 11 2013	4.31
10 12 2013	4.24
10 13 2013	4
10 14 2013	4.14
10 15 2013	4.68
10 16 2013	5.22
10 17 2013	5.49
10 18 2013	5.56
10 19 2013	5.69
10 20 2013	5.41
10 21 2013	5.21
10 22 2013	5.24
10 23 2013	4.78
10 24 2013	4.56
10 25 2013	3.99
10 26 2013	3.91
10 27 2013	3.63
10 28 2013	3.73
10 29 2013	3.6
10 30 2013	3.77
10 31 2013	3.91
11 1 2013	4.02
11 2 2013	4.2
11 3 2013	4.47
11 4 2013	4.79
11 5 2013	5.57
11 6 2013	5.65
11 7 2013	5.15
11 8 2013	5.17
11 9 2013	4.82
11 10 2013	4.57
11 11 2013	4.53
11 12 2013	4.74
11 13 2013	4.97
11 14 2013	5.26
11 15 2013	5.52
11 16 2013	5.49
11 17 2013	5.66
11 18 2013	5.54
11 19 2013	5.59
11 20 2013	5.48
11 21 2013	5.49
11 22 2013	5.12
11 23 2013	4.9
11 24 2013	5.06
11 25 2013	5.13
11 26 2013	5.72
11 27 2013	6.16
11 28 2013	6.96
11 29 2013	7.43
11 30 2013	7.9
12 1 2013	7.97
12 2 2013	7.95
12 3 2013	7.73
12 4 2013	7.33
12 5 2013	7.03
12 6 2013	6.69
12 7 2013	6.29
12 8 2013	6.24
12 9 2013	6.57
12 10 2013	6.71
12 11 2013	6.9
12 12 2013	6.64
12 13 2013	6.68
12 14 2013	6.93
12 15 2013	6.86
12 16 2013	7.24
12 17 2013	8.13
12 18 2013	9.37
12 19 2013	10.53
12 20 2013	11.72
12 21 2013	12.65
12 22 2013	13.13
12 23 2013	13.31
12 24 2013	13.57
12 25 2013	13.87
12 26 2013	14.46
12 27 2013	15.1
12 28 2013	15.81
12 29 2013	16.75
12 30 2013	17.5
12 31 2013	18.24
1 1 2014	18.6
1 2 2014	18.95
1 3 2014	19.09
1 4 2014	19.35
1 5 2014	19.5
1 6 2014	19.72
1 7 2014	19.7
1 8 2014	19.69
1 9 2014	19.79
1 10 2014	19.67
1 11 2014	19.61
1 12 2014	19.11
1 13 2014	18.79
1 14 2014	18.3
1 15 2014	17.7
1 16 2014	16.88
1 17 2014	16.43
1 18 2014	15.75
1 19 2014	15.27
1 20 2014	14.97
1 21 2014	14.86
1 22 2014	14.77
1 23 2014	14.83
1 24 2014	15.13
1 25 2014	15.51
1 26 2014	15.65
1 27 2014	15.93
1 28 2014	15.81
1 29 2014	15.34
1 30 2014	14.33
1 31 2014	13.11
2 1 2014	12.14
2 2 2014	11.07
2 3 2014	10.14
2 4 2014	9.27
2 5 2014	8.68
2 6 2014	8.03
2 7 2014	7.84
2 8 2014	8.1
2 9 2014	8.41
2 10 2014	8.94
2 11 2014	9.6
2 12 2014	10.85
2 13 2014	11.91
2 14 2014	12.76
2 15 2014	13.58
2 16 2014	14.27
2 17 2014	14.93
2 18 2014	15.36
2 19 2014	15.54
2 20 2014	15.14
2 21 2014	14.84
2 22 2014	14.26
2 23 2014	13.19
2 24 2014	12.2
2 25 2014	11.46
2 26 2014	11.07
2 27 2014	11.06
2 28 2014	10.96
3 1 2014	11.23
3 2 2014	11.87
3 3 2014	12.82
3 4 2014	13.63
3 5 2014	14.52
3 6 2014	15.4
3 7 2014	16.03
3 8 2014	16.6
3 9 2014	17.02
3 10 2014	17.27
3 11 2014	17.47
3 12 2014	17.53
3 13 2014	17.16
3 14 2014	16.75
3 15 2014	16.36
3 16 2014	16.1
3 17 2014	15.49
3 18 2014 NaN
3 19 2014 NaN
3 20 2014 NaN
3 21 2014	14.31
3 22 2014	14.23
3 23 2014	14.15
3 24 2014	14.15
3 25 2014	14.2
3 26 2014	14.1
3 27 2014	13.93
3 28 2014	13.62
3 29 2014	14.32
3 30 2014	14.49
3 31 2014	14.35
4 1 2014	13.98
4 2 2014	13.96
4 3 2014	13.78
4 4 2014	13.52
4 5 2014	13.29
4 6 2014	13.27
4 7 2014	13.29
4 8 2014	13.89
4 9 2014	14.62
4 10 2014	15.27
4 11 2014	16.31
4 12 2014	17.5
4 13 2014	18.53
4 14 2014	19.5
4 15 2014	20.15
4 16 2014	20.96
4 17 2014	21.36
4 18 2014	21.92
4 19 2014	22.24
4 20 2014	22.48
4 21 2014	22.61
4 22 2014	22.77
4 23 2014	22.89
4 24 2014	22.8
4 25 2014	22.67
4 26 2014	22.21
4 27 2014	21.77
4 28 2014	21.3
4 29 2014	20.7
4 30 2014	19.97
5 1 2014	19.1
5 2 2014	18.4
5 3 2014	17.56
5 4 2014	16.68
5 5 2014	16.1
5 6 2014	16.11
5 7 2014	16.53
5 8 2014	17
5 9 2014	17.54
5 10 2014	18.33
5 11 2014	18.72
5 12 2014	19.06
5 13 2014	19.33
5 14 2014	19.45
5 15 2014	19.25
5 16 2014	19.21
5 17 2014	19.05
5 18 2014	18.73
5 19 2014	18.57
5 20 2014	18.29
5 21 2014	17.9
5 22 2014	17.66
5 23 2014	17.55
5 24 2014	17.49
5 25 2014	17.5
5 26 2014	17.66
5 27 2014	17.8
5 28 2014	18.47
5 29 2014	18.73
5 30 2014	19.02
5 31 2014	19.05
6 1 2014	19.08
6 2 2014	19.14
6 3 2014	19.06
6 4 2014	18.67
6 5 2014	18.11
6 6 2014	17.45
6 7 2014	16.7
6 8 2014	15.89
6 9 2014	14.94
6 10 2014	14.04
6 11 2014	13.82
6 12 2014	13.71
6 13 2014	13.99
6 14 2014	14.79
6 15 2014	15.66
6 16 2014	16.34
6 17 2014	16.83
6 18 2014	17.24
6 19 2014	17.63
6 20 2014	17.97
6 21 2014	18.19
6 22 2014	18.16
6 23 2014	18.13
6 24 2014	17.89
6 25 2014	17.39
6 26 2014	16.75
6 27 2014	16.16
6 28 2014	15.53
6 29 2014	14.77
6 30 2014	13.96
7 1 2014	13.32
7 2 2014	12.98
7 3 2014	12.8
7 4 2014	12.92
7 5 2014	13.11
7 6 2014	13.49
7 7 2014	13.85
7 8 2014	14.09
7 9 2014	14.2
7 10 2014	14.1
7 11 2014	13.99
7 12 2014	13.83
7 13 2014	13.67
7 14 2014	13.41
7 15 2014	13.19
7 16 2014	13.24
7 17 2014	13.08
7 18 2014	13.22
7 19 2014	13.53
7 20 2014	13.61
7 21 2014	13.86
7 22 2014 NaN
7 23 2014	14.06
7 24 2014	14.05
7 25 2014	13.95
7 26 2014	13.59
7 27 2014	13.11
7 28 2014	12.6
7 29 2014	12.05
7 30 2014	11.47
7 31 2014	10.74
8 1 2014 NaN
8 2 2014	9.41
8 3 2014	8.83
8 4 2014	8.5
8 5 2014	8.23
8 6 2014	7.71
8 7 2014	7.52
8 8 2014	7.37
8 9 2014	6.97
8 10 2014	6.58
8 11 2014	6.31
8 12 2014	6.03
8 13 2014	5.66
8 14 2014	5.45
8 15 2014	5.46
8 16 2014	5.52
8 17 2014	5.57
8 18 2014	5.33
8 19 2014	5.17
8 20 2014	4.85
8 21 2014	4.62
8 22 2014	4.43
8 23 2014	4.5
8 24 2014	4.6
8 25 2014	4.81
8 26 2014	5.46
8 27 2014	5.54
8 28 2014 NaN
8 29 2014	5.5
8 30 2014	5.74
8 31 2014	5.92
9 1 2014	6.04
9 2 2014	6.22
9 3 2014	6.21
9 4 2014	6.23
9 5 2014	6.2
9 6 2014	6.06
9 7 2014	5.82
9 8 2014	5.67
9 9 2014	5.54
9 10 2014	5.48
9 11 2014	5.65
9 12 2014	5.81
9 13 2014	5.82
9 14 2014	6.31
9 15 2014	6.42
9 16 2014	6.56
9 17 2014	6.49
9 18 2014	6.59
9 19 2014	6.73
9 20 2014	7.07
9 21 2014	7.44
9 22 2014	7.88
9 23 2014	8.29
9 24 2014 NaN
9 25 2014	9.12
9 26 2014	8.93
9 27 2014	8.72
9 28 2014	8.53
9 29 2014	8
9 30 2014	7.63
10 1 2014	7.35
10 2 2014	7.03
10 3 2014	6.6
10 4 2014	6.04
10 5 2014	5.66
10 6 2014	5.24
10 7 2014	5.16
10 8 2014	4.92
10 9 2014	4.78
10 10 2014	4.76
10 11 2014	4.89
10 12 2014	5.08
10 13 2014	5.69
10 14 2014	6.32
10 15 2014	6.76
10 16 2014	7.44
10 17 2014	7.77
10 18 2014	7.96
10 19 2014	8.48
10 20 2014	8.84
10 21 2014	9.16
10 22 2014	9.73
10 23 2014	10.45
10 24 2014 NaN
10 25 2014 NaN
10 26 2014 NaN
10 27 2014 NaN
10 28 2014	12.34
10 29 2014 NaN
10 30 2014	11.23
10 31 2014	10.48
11 1 2014	9.75
11 2 2014	8.79
11 3 2014	8.07
11 4 2014	7.6
11 5 2014	7.34
11 6 2014	7.05
11 7 2014	6.83
11 8 2014	6.72
11 9 2014	6.3
11 10 2014	6.13
11 11 2014	5.94
11 12 2014	5.81
11 13 2014	5.62
11 14 2014	5.37
11 15 2014 NaN
11 16 2014 NaN
11 17 2014	5.32
11 18 2014 NaN
11 19 2014 NaN
11 20 2014 NaN
11 21 2014 NaN
11 22 2014	6.12
11 23 2014	6.4
11 24 2014	6.35
11 25 2014	6.02
11 26 2014	5.73
11 27 2014	5.34
11 28 2014	5.05
11 29 2014	5.19
11 30 2014	5.31
12 1 2014	5.5
12 2 2014	5.4
12 3 2014	5.59
12 4 2014	5.72
12 5 2014	5.92
12 6 2014	6.24
12 7 2014	6.42
12 8 2014	6.58
12 9 2014	6.6
12 10 2014	6.6
12 11 2014	6.67
12 12 2014	6.84
12 13 2014	6.86
12 14 2014	7.13
12 15 2014	8.01
12 16 2014	9.09
12 17 2014	9.81
12 18 2014	10.66
12 19 2014	11.37
12 20 2014	11.98
12 21 2014	11.81
12 22 2014	11.13
12 23 2014	10.46
12 24 2014	9.85
12 25 2014	8.92
12 26 2014	8.06
12 27 2014	7.54
12 28 2014	6.98
12 29 2014	6.8
12 30 2014	6.78
12 31 2014	6.77
1 1 2015 NaN
1 2 2015 NaN
1 3 2015 NaN
1 4 2015 NaN
1 5 2015 NaN
1 6 2015 NaN
1 7 2015	11.32
1 8 2015	12.16
1 9 2015	12.61
1 10 2015	13
1 11 2015	13.31
1 12 2015	13.64
1 13 2015 NaN
1 14 2015 NaN
1 15 2015 NaN
1 16 2015	14.09
1 17 2015	13.72
1 18 2015	13.18
1 19 2015	12.61
1 20 2015	11.97
1 21 2015	11.32
1 22 2015	10.76
1 23 2015 NaN
1 24 2015 NaN
1 25 2015 NaN
1 26 2015 NaN
1 27 2015 NaN
1 28 2015 NaN
1 29 2015 NaN
1 30 2015	7.73
1 31 2015	7.27
2 1 2015	7.06
2 2 2015	6.85
2 3 2015	6.65
2 4 2015	6.44
2 5 2015	6.49
2 6 2015	6.31
2 7 2015	6.08
2 8 2015	6.24
2 9 2015 NaN
2 10 2015	6.01
2 11 2015	6.1
2 12 2015 NaN
2 13 2015	6.11
2 14 2015	6.26
2 15 2015	6.51
2 16 2015	6.96
2 17 2015	7.23
2 18 2015	7.08
2 19 2015	6.63
2 20 2015	6.47
2 21 2015	6.83
2 22 2015	6.5
2 23 2015	6.37
2 24 2015	6.33
2 25 2015	6.79
2 26 2015	7.55
2 27 2015	8.09
2 28 2015	8.83
3 1 2015 NaN
3 2 2015 NaN
3 3 2015 NaN
3 4 2015 NaN
3 5 2015 NaN
3 6 2015	13.28
3 7 2015	13.63
3 8 2015	13.92
3 9 2015	14.3
3 10 2015	14.96
3 11 2015	15.69
3 12 2015	16.77
3 13 2015	17.93
3 14 2015	19.09
3 15 2015	19.77
3 16 2015	20.37
3 17 2015	20.94
3 18 2015	21.32
3 19 2015	21.76
3 20 2015	22.15
3 21 2015	22.62
3 22 2015	23
3 23 2015	23.47
3 24 2015	23.82
3 25 2015	24.19
3 26 2015	24.53
3 27 2015	24.98
3 28 2015	25.26
3 29 2015	25.43
3 30 2015	25.58
3 31 2015	25.8
4 1 2015	25.89
4 2 2015	25.99
4 3 2015	26.05
4 4 2015	26.09
4 5 2015	25.88
4 6 2015	25.89
4 7 2015	25.57
4 8 2015	25.15
4 9 2015	24.65
4 10 2015	24.04
4 11 2015	23.53
4 12 2015	23.11
4 13 2015	22.71
4 14 2015	22.54
4 15 2015	22.39
4 16 2015	22.24
4 17 2015	22.29
4 18 2015	22.43
4 19 2015	22.6
4 20 2015	22.72
4 21 2015	22.98
4 22 2015	23.31
4 23 2015	23.57
4 24 2015	23.84
4 25 2015	24.14
4 26 2015	24.26
4 27 2015	24.37
4 28 2015 NaN
4 29 2015 NaN
4 30 2015 NaN
5 1 2015	25.1
5 2 2015	25.06
5 3 2015	25.1
5 4 2015	25.17
5 5 2015	25.18
5 6 2015	25.03
5 7 2015	24.72
5 8 2015	24.3
5 9 2015	23.77
5 10 2015	23.04
5 11 2015	22.3
5 12 2015	21.42
5 13 2015	20.52
5 14 2015	19.83
5 15 2015	19.26
5 16 2015	18.91
5 17 2015	18.63
5 18 2015	18.49
5 19 2015	18.65
5 20 2015	18.86
5 21 2015	19.04
5 22 2015	19.23
5 23 2015	19.42
5 24 2015	19.46
5 25 2015	19.7
5 26 2015	20
5 27 2015	20.27
5 28 2015	20.56
5 29 2015	20.66
5 30 2015	20.9
5 31 2015	21.11
6 1 2015	21.25
6 2 2015	21.42
6 3 2015	21.51
6 4 2015	21.76
6 5 2015	21.94
6 6 2015	22.2
6 7 2015	22.41
6 8 2015	22.7
6 9 2015	22.97
6 10 2015	23.13
6 11 2015	23.22
6 12 2015	23.2
6 13 2015	23.02
6 14 2015	22.85
6 15 2015	22.72
6 16 2015	22.63
6 17 2015	22.38
6 18 2015	22.31
6 19 2015	22.2
6 20 2015	22.13
6 21 2015	22.09
6 22 2015	21.94
6 23 2015	21.86
6 24 2015	21.85
6 25 2015	21.89
6 26 2015	22.01
6 27 2015	22.17
6 28 2015	22.41
6 29 2015	22.73
6 30 2015	22.91
7 1 2015	23.29
7 2 2015	23.61
7 3 2015	23.89
7 4 2015	24.24
7 5 2015	24.5
7 6 2015	24.87
7 7 2015	25.17
7 8 2015	25.54
7 9 2015	25.71
7 10 2015	25.91
7 11 2015	26.12
7 12 2015	26.31
7 13 2015	26.48
7 14 2015	26.65
7 15 2015	26.88
7 16 2015	27.05
7 17 2015	27.24
7 18 2015	27.35
7 19 2015	27.52
7 20 2015	27.7
7 21 2015	27.79
7 22 2015	27.84
7 23 2015	27.88
7 24 2015	27.92
7 25 2015	27.89
7 26 2015	27.83
7 27 2015	27.87
7 28 2015	27.93
7 29 2015	27.92
7 30 2015	27.92
7 31 2015	27.8
8 1 2015	27.63
8 2 2015	27.55
8 3 2015	27.37
8 4 2015	27.1
8 5 2015	26.91
8 6 2015	26.49
8 7 2015	26.03
8 8 2015	25.54
8 9 2015	24.95
8 10 2015	24.32
8 11 2015	23.66
8 12 2015	23.01
8 13 2015	22.3
8 14 2015	21.45
8 15 2015	20.61
8 16 2015	19.63
8 17 2015	18.55
8 18 2015	17.17
8 19 2015	15.87
8 20 2015	14.66
8 21 2015	13.46
8 22 2015	12.44
8 23 2015	11.61
8 24 2015	10.82
8 25 2015	10.11
8 26 2015	9.63
8 27 2015	9.05
8 28 2015	8.53
8 29 2015	8.15
8 30 2015	7.7
8 31 2015	7.55
9 1 2015	7.32
9 2 2015	7.26
9 3 2015	7.12
